Departamento Acccion de Servicio Social;Municipio Acccion de Servicio Social;Comunidad general;Desmovilizados;Desplazados por la violencia;Enfermos y personas con discapacidad;Indígenas;Infantes y adolescentes;Madres cabeza de familia;Negritudes;Tercera edad;Víctimas;FechaCorte;FechaActualizacion
Antioquia;Caucasia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;Sí;No;Sí;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Uramita;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Bello;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Santo Domingo;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Buriticá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Girardota;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Buriticá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Bello;Sí;Sí;Sí;No;No;Sí;Sí;Sí;No;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Cáceres;No;No;No;Sí;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Cáceres;No;No;No;Sí;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Andes;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Arboletes;Sí;Sí;Sí;Sí;No;Sí;Sí;No;Sí;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Tarazá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;Sí;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Carlos;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Nechí;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Carepa;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Segovia;Sí;Sí;No;No;No;No;No;Sí;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Pedro De Uraba;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Betania;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Rionegro;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Nariño;No;Sí;No;No;Sí;No;No;Sí;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;El Bagre;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;La Ceja;Sí;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Segovia;Sí;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Turbo;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Yondó;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;Sí;Sí;Sí;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Pedro De Uraba;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Triunfo;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Fredonia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Nare;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Rafael;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Turbo;Sí;Sí;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Triunfo;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;Sí;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Chigorodó;Sí;No;Sí;No;No;Sí;Sí;Sí;Sí;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;Sí;No;Sí;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;Sí;Sí;No;No;Sí;Sí;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Berrío;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Caucasia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Betulia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Rionegro;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Berrío;Sí;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Caucasia;No;No;No;Sí;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Nariño;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Santa Rosa De Osos;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Amalfi;Sí;No;Sí;No;Sí;No;No;No;No;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Carlos;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Caucasia;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Envigado;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Sabanalarga;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Carepa;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Andrés De Cuerquía;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Triunfo;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Carepa;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Turbo;No;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Entrerrios;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Chigorodó;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Roque;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Anorí;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Zaragoza;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Urrao;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;San Carlos;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Frontino;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Mutatá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;Sí;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Caucasia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Berrío;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Caucasia;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Triunfo;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;Sí;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
